Trading Simulation Game Results
Your Account Financial Object Values per Period
Period, Financial_Object, Object_Name, Value
1, STOCK, AKS, 3.30743
1, STOCK, Nokia, 3.27341
1, STOCK, XEROX, 6.68592
1, STOCK, MT, 15.8377
1, STOCK, ELN, 10.3601
1, STOCK, X, 20.3497
1, STOCK, YHOO, 19.0658
1, STOCK, INTEL, 24.7903
1, STOCK, MSFT, 44.7296
1, STOCK, CRM, 42.4815
1, STOCK, BP, 55.5034
1, STOCK, DIS, 62.381
1, STOCK, PG, 82.7159
1, STOCK, JNJ, 76.2896
1, STOCK, EOM, 67.3315
1, STOCK, AMZN, 325.768
2, STOCK, AKS, 3.80564
2, STOCK, Nokia, 3.84021
2, STOCK, XEROX, 7.61389
2, STOCK, MT, 19.9033
2, STOCK, ELN, 11.7815
2, STOCK, X, 26.0476
2, STOCK, YHOO, 17.8948
2, STOCK, INTEL, 22.9683
2, STOCK, MSFT, 50.2433
2, STOCK, CRM, 54.6403
2, STOCK, BP, 45.3504
2, STOCK, DIS, 47.2853
2, STOCK, PG, 95.7396
2, STOCK, JNJ, 98.2369
2, STOCK, EOM, 65.64
2, STOCK, AMZN, 390.923
3, STOCK, AKS, 2.70588
3, STOCK, Nokia, 3.11456
3, STOCK, XEROX, 7.17894
3, STOCK, MT, 14.2026
3, STOCK, ELN, 10.5498
3, STOCK, X, 20.4139
3, STOCK, YHOO, 19.9444
3, STOCK, INTEL, 20.1434
3, STOCK, MSFT, 49.745
3, STOCK, CRM, 49.1579
3, STOCK, BP, 43.4552
3, STOCK, DIS, 54.6765
3, STOCK, PG, 119.708
3, STOCK, JNJ, 105.78
3, STOCK, EOM, 79.521
3, STOCK, AMZN, 478.137
4, STOCK, AKS, 2.35791
4, STOCK, Nokia, 3.26695
4, STOCK, XEROX, 5.36232
4, STOCK, MT, 10.9425
4, STOCK, ELN, 13.2262
4, STOCK, X, 18.116
4, STOCK, YHOO, 25.7379
4, STOCK, INTEL, 16.669
4, STOCK, MSFT, 42.6264
4, STOCK, CRM, 54.7181
4, STOCK, BP, 47.7721
4, STOCK, DIS, 52.1949
4, STOCK, PG, 88.972
4, STOCK, JNJ, 91.5931
4, STOCK, EOM, 67.4391
4, STOCK, AMZN, 595.851
5, STOCK, AKS, 2.43286
5, STOCK, Nokia, 4.20397
5, STOCK, XEROX, 6.1722
5, STOCK, MT, 9.05315
5, STOCK, ELN, 13.3843
5, STOCK, X, 17.9556
5, STOCK, YHOO, 22.3002
5, STOCK, INTEL, 12.9688
5, STOCK, MSFT, 30.8493
5, STOCK, CRM, 39.7559
5, STOCK, BP, 59.2602
5, STOCK, DIS, 39.2983
5, STOCK, PG, 74.393
5, STOCK, JNJ, 114.948
5, STOCK, EOM, 73.1485
5, STOCK, AMZN, 756.305
6, STOCK, AKS, 2.90039
6, STOCK, Nokia, 3.88744
6, STOCK, XEROX, 5.89513
